"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"khakassia.su","5","Yes","Yes","<1% of su"
"kharkov.ua","1824","Yes","Yes","<1% of ua"
"kids.us","5","Yes","Yes","<1% of us"
"kiev.ua","24348","Yes","Yes","6% of ua"
"kingly.se","5","No","Yes","<1% of se"
"kiwi.nz","314","Yes","Yes","<1% of nz"
"km.ua","944","Yes","Yes","<1% of ua"
"kolobrzeg.pl","562","Yes","Yes","<1% of pl"
"konin.pl","672","Yes","Yes","<1% of pl"
"kr.ua","503","Yes","Yes","<1% of ua"
"krakow.pl","2612","Yes","Yes","<1% of pl"
"krasnodar.su","50","Yes","Yes","<1% of su"
"ks.ua","1272","Yes","Yes","<1% of ua"
"ks.us","23","Yes","Yes","<1% of us"
"kurgan.su","8","Yes","Yes","<1% of su"
"kustanai.ru","2","Yes","Yes","<1% of ru"
"kustanai.su","1","No","Yes","<1% of su"
"ky.us","29","Yes","Yes","<1% of us"
"kyoto.jp","136","Yes","Yes","<1% of jp"
"l.se","5","Yes","Yes","<1% of se"
"la.us","18","Yes","Yes","<1% of us"
"lebork.pl","281","Yes","Yes","<1% of pl"
"legnica.pl","583","Yes","Yes","<1% of pl"
"lenug.su","4","Yes","Yes","<1% of su"
"lg.jp","928","Yes","Yes","<1% of jp"
"lg.ua","1471","Yes","Yes","<1% of ua"
"ln.cn","427","Yes","No","<1% of cn"
"lnu.se","9604","No","Yes","1% of se"
"lomza.pl","354","Yes","Yes","<1% of pl"
"ltd.gi","1","Yes","No","<1% of gi"
"ltd.uk","3654","Yes","Yes","<1% of uk"
"lubin.pl","596","Yes","Yes","<1% of pl"
"lukow.pl","323","Yes","Yes","<1% of pl"
"lviv.ua","3119","Yes","Yes","1% of ua"
"m.se","78","Yes","Yes","<1% of se"
"ma.us","198","Yes","Yes","<1% of us"
"malbork.pl","371","Yes","Yes","<1% of pl"
"malopolska.pl","826","Yes","Yes","<1% of pl"
"mangyshlak.su","1","No","Yes","<1% of su"
"maori.nz","248","Yes","Yes","<1% of nz"
"marine.ru","16","Yes","Yes","<1% of ru"
"mazowsze.pl","459","Yes","Yes","<1% of pl"
"mazury.pl","629","Yes","Yes","<1% of pl"
"mb.ca","1097","Yes","Yes","<1% of ca"
"md.us","58","Yes","Yes","<1% of us"
"me.ke","39","No","Yes","<1% of ke"
"me.uk","22364","Yes","Yes","<1% of uk"
"me.us","40","Yes","Yes","<1% of us"
"med.br","2168","Yes","Yes","<1% of br"
"med.pl","158","Yes","Yes","<1% of pl"
"media.pl","429","Yes","Yes","<1% of pl"
"mi.us","177","Yes","Yes","<1% of us"
"mielec.pl","505","Yes","Yes","<1% of pl"
"mielno.pl","356","Yes","Yes","<1% of pl"
"mil.ae","6","Yes","Yes","<1% of ae"
"mil.al","2","Yes","Yes","<1% of al"
"mil.ar","36","Yes","No","<1% of ar"
"mil.bo","4","Yes","No","<1% of bo"
"mil.by","7","Yes","Yes","<1% of by"
"mil.cl","19","Yes","Yes","<1% of cl"
"mil.cn","27","Yes","No","<1% of cn"
"mil.co","119","Yes","Yes","<1% of co"
"mil.gh","2","Yes","No","<1% of gh"
"mil.gt","6","Yes","No","<1% of gt"
"mil.hn","2","Yes","Yes","<1% of hn"
"mil.in","3","Yes","Yes","<1% of in"
"mil.iq","2","Yes","No","2% of iq"
"mil.jo","10","Yes","Yes","1% of jo"
"mil.kg","2","Yes","No","<1% of kg"
"mil.kr","51","Yes","Yes","<1% of kr"
"mil.kz","1","Yes","No","<1% of kz"
"mil.my","21","Yes","No","<1% of my"
"mil.ng","8","Yes","No","<1% of ng"
"mil.ni","3","Yes","No","8% of ni"
"mil.no","82","Yes","Yes","<1% of no"
"mil.nz","24","Yes","Yes","<1% of nz"
"mil.pe","13","Yes","Yes","<1% of pe"
"mil.tw","6","Yes","Yes","<1% of tw"
"mil.tz","2","Yes","Yes","<1% of tz"
"mil.uy","5","Yes","Yes","<1% of uy"
"mil.za","4","Yes","No","<1% of za"
"mk.ua","1296","Yes","Yes","<1% of ua"
"mn.us","319","Yes","Yes","<1% of us"
"mo.cn","396","Yes","No","<1% of cn"
"mo.us","113","Yes","Yes","<1% of us"
"mordovia.ru","11","Yes","Yes","<1% of ru"
"mordovia.su","4","Yes","Yes","<1% of su"
"ms.kr","1803","Yes","Yes","<1% of kr"
"ms.us","47","Yes","Yes","<1% of us"
"msk.ru","18094","Yes","Yes","<1% of ru"
"msk.su","584","Yes","Yes","<1% of su"
"mt.us","35","Yes","Yes","<1% of us"
"muni.il","140","Yes","No","<1% of il"
"murmansk.su","16","Yes","Yes","<1% of su"
"mus.br","664","Yes","Yes","<1% of br"
"mytis.ru","4","Yes","Yes","<1% of ru"
"n.se","16","Yes","Yes","<1% of se"
"nalchik.ru","16","Yes","Yes","<1% of ru"
"nalchik.su","3","Yes","Yes","<1% of su"
"name.my","53","Yes","No","<1% of my"
"name.tr","788","Yes","Yes","<1% of tr"
"name.vn","484","Yes","No","<1% of vn"
"navoi.su","1","No","Yes","<1% of su"
"nb.ca","321","Yes","Yes","<1% of ca"
"nc.us","159","Yes","Yes","<1% of us"
"nd.us","109","Yes","Yes","<1% of us"
"ne.jp","11449","Yes","Yes","1% of jp"
"ne.ke","4","No","Yes","<1% of ke"
"ne.kr","497","Yes","Yes","<1% of kr"
"ne.pw","810","Yes","Yes","<1% of pw"
"ne.us","134","Yes","Yes","<1% of us"
"net.ae","10","Yes","Yes","<1% of ae"
"net.af","1","Yes","Yes","<1% of af"
"net.ag","5","Yes","Yes","<1% of ag"
"net.ai","2","Yes","No","<1% of ai"
"net.ar","983","Yes","No","<1% of ar"
"net.au","202529","Yes","Yes","10% of au"
"net.az","5","Yes","Yes","<1% of az"
"net.ba","9","Yes","Yes","<1% of ba"
"net.bb","3","Yes","No","1% of bb"
"net.bh","5","Yes","No","2% of bh"
"net.br","17305","Yes","Yes","1% of br"
"net.bs","1","Yes","No","<1% of bs"
"net.cm","1","Yes","No","<1% of cm"
"net.cn","124852","Yes","No","2% of cn"
"net.co","1296","Yes","Yes","<1% of co"
"net.cu","3","Yes","No","<1% of cu"
"net.cy","6","Yes","Yes","24% of cy"
"net.dm","1","Yes","Yes","1% of dm"
"net.dz","1","Yes","No","<1% of dz"
"net.et","5","Yes","No","1% of et"
"net.ge","12","Yes","Yes","<1% of ge"
"net.gg","1","Yes","Yes","<1% of gg"
"net.gl","1","Yes","Yes","<1% of gl"
"net.gn","13","Yes","No","13% of gn"
"net.gr","414","Yes","Yes","<1% of gr"
"net.gy","3","Yes","Yes","<1% of gy"
"net.hn","1","Yes","Yes","<1% of hn"
"net.ht","2","Yes","Yes","<1% of ht"
"net.il","94","Yes","No","<1% of il"
"net.im","1","Yes","Yes","<1% of im"
"net.in","16408","Yes","Yes","2% of in"
"net.iq","1","Yes","No","1% of iq"
"net.ir","20","Yes","Yes","<1% of ir"
"net.je","2","Yes","Yes","<1% of je"
"net.jo","13","Yes","Yes","1% of jo"
"net.ki","3","Yes","Yes","6% of ki"
"net.lr","3","Yes","No","3% of lr"
"net.lv","11","Yes","Yes","<1% of lv"
"net.me","4","Yes","Yes","<1% of me"
"net.ml","5","Yes","Yes","<1% of ml"
"net.mm","36","No","No","8% of mm"
"net.mu","2","Yes","Yes","<1% of mu"
"net.mx","215","Yes","Yes","<1% of mx"
"net.my","901","Yes","No","1% of my"
"net.nf","3","Yes","Yes","2% of nf"
"net.nr","1","Yes","No","2% of nr"
"net.nz","21830","Yes","Yes","5% of nz"
"net.om","3","Yes","No","1% of om"
"net.pa","9","Yes","No","17% of pa"
"net.pg","13","No","No","1% of pg"
"net.pl","19368","Yes","Yes","1% of pl"
"net.pr","4","Yes","Yes","1% of pr"
"net.ru","8717","Yes","Yes","<1% of ru"
"net.rw","1","Yes","No","<1% of rw"
"net.sb","6","Yes","Yes","20% of sb"
"net.sc","1","Yes","Yes","<1% of sc"
"net.sd","3","Yes","No","1% of sd"
"net.sg","52","Yes","Yes","<1% of sg"
"net.sh","1","Yes","Yes","<1% of sh"
"net.so","3","Yes","Yes","<1% of so"
"net.sy","12","Yes","No","3% of sy"
"net.tj","1","Yes","No","<1% of tj"
"net.tn","5","Yes","Yes","<1% of tn"
"net.to","1","Yes","Yes","<1% of to"
"net.tr","1021","Yes","Yes","<1% of tr"
"net.tw","864","Yes","Yes","<1% of tw"
"net.ua","10327","Yes","Yes","3% of ua"
"net.uk","273","Yes","Yes","<1% of uk"
"net.vc","1","Yes","Yes","<1% of vc"
"net.vn","2550","Yes","No","2% of vn"
"net.vu","2","Yes","No","1% of vu"
"net.ws","533","Yes","Yes","<1% of ws"
"nf.ca","202","Yes","Yes","<1% of ca"
"nh.us","109","Yes","Yes","<1% of us"
"nhs.uk","6088","Yes","Yes","<1% of uk"
"nic.in","3695","Yes","Yes","<1% of in"
"nieruchomosci.pl","834","Yes","Yes","<1% of pl"
"nj.us","71","Yes","Yes","<1% of us"
"nl.ca","81","Yes","Yes","<1% of ca"
"nm.cn","532","Yes","No","<1% of cn"
"nm.us","35","Yes","Yes","<1% of us"
"no.com","392754","Yes","No","<1% of com"
"nom.co","117","Yes","Yes","<1% of co"
"nom.es","506","Yes","Yes","<1% of es"
"north-kazakhstan.su","1","No","Yes","<1% of su"
"nov.ru","735","Yes","Yes","<1% of ru"
"nov.su","24","Yes","Yes","<1% of su"
"ns.ca","644","Yes","Yes","<1% of ca"
"ns.se","9","No","Yes","<1% of se"
"nsn.us","27","Yes","Yes","<1% of us"
"nsw.au","67","Yes","Yes","<1% of au"
"nt.ca","59","Yes","Yes","<1% of ca"
"nt.ro","31","Yes","Yes","<1% of ro"
"nu.ca","21","Yes","Yes","<1% of ca"
"nv.us","63","Yes","Yes","<1% of us"
"nx.cn","445","Yes","No","<1% of cn"
"ny.us","188","Yes","Yes","<1% of us"
"nysa.pl","554","Yes","Yes","<1% of pl"
"o.se","87","Yes","Yes","<1% of se"
"obninsk.su","7","Yes","Yes","<1% of su"
"od.ua","4548","Yes","Yes","1% of ua"
"odo.br","437","Yes","Yes","<1% of br"
"oh.us","243","Yes","Yes","<1% of us"
"ok.us","36","Yes","Yes","<1% of us"
"okinawa.jp","84","Yes","Yes","<1% of jp"
"olkusz.pl","314","Yes","Yes","<1% of pl"
"olsztyn.pl","2192","Yes","Yes","<1% of pl"
"on.ca","4346","Yes","Yes","<1% of ca"
"opole.pl","1989","Yes","Yes","<1% of pl"
"or.at","7854","Yes","Yes","1% of at"
"or.jp","27279","Yes","Yes","2% of jp"
"or.ke","495","No","Yes","6% of ke"
"or.kr","24320","Yes","Yes","7% of kr"
"or.us","157","Yes","Yes","<1% of us"
"org.ac","3","Yes","Yes","<1% of ac"
"org.ag","7","Yes","Yes","<1% of ag"
"org.ai","2","Yes","No","<1% of ai"
"org.ar","9738","Yes","No","2% of ar"
"org.au","50769","Yes","Yes","2% of au"
"org.bm","1","Yes","No","<1% of bm"
"org.br","32063","Yes","Yes","1% of br"
"org.bs","4","Yes","No","2% of bs"
"org.ck","13","No","No","6% of ck"
"org.cn","72593","Yes","No","1% of cn"
"org.co","1298","Yes","Yes","<1% of co"
"org.cu","6","Yes","No","1% of cu"
"org.dm","1","Yes","Yes","1% of dm"
"org.es","2422","Yes","Yes","<1% of es"
"org.et","90","Yes","No","20% of et"
"org.fj","93","No","No","14% of fj"
"org.gi","4","Yes","No","1% of gi"
"org.gl","1","Yes","Yes","<1% of gl"
"org.gn","16","Yes","No","16% of gn"
"org.gr","380","Yes","Yes","<1% of gr"
"org.hn","32","Yes","Yes","2% of hn"
"org.hu","209","Yes","Yes","<1% of hu"
"org.il","6681","Yes","No","4% of il"
"org.in","17034","Yes","Yes","2% of in"
"org.iq","2","Yes","No","2% of iq"
"org.ir","172","Yes","No","<1% of ir"
"org.kn","1","Yes","No","2% of kn"
"org.kp","4","Yes","No","20% of kp"
"org.lr","26","Yes","No","22% of lr"
"org.me","36","Yes","Yes","<1% of me"
"org.mg","2","Yes","Yes","<1% of mg"
"org.mx","7259","Yes","Yes","2% of mx"
"org.my","1837","Yes","No","1% of my"
"org.nr","1","Yes","No","2% of nr"
"org.nz","23642","Yes","Yes","5% of nz"
"org.pf","12","Yes","No","2% of pf"
"org.pg","204","No","No","14% of pg"
"org.pl","11822","Yes","Yes","1% of pl"
"org.pr","5","Yes","Yes","1% of pr"
"org.pt","488","Yes","Yes","<1% of pt"
"org.ro","473","Yes","Yes","<1% of ro"
"org.ru","7002","Yes","Yes","<1% of ru"
"org.sc","1","Yes","Yes","<1% of sc"
"org.se","93","Yes","Yes","<1% of se"
"org.sg","2040","Yes","Yes","2% of sg"
"org.sh","3","Yes","Yes","<1% of sh"
"org.sl","1","Yes","No","<1% of sl"
"org.so","3","Yes","Yes","<1% of so"
"org.sz","110","Yes","No","14% of sz"
"org.tj","2","Yes","No","<1% of tj"
"org.tm","1","Yes","Yes","<1% of tm"
"org.to","7","Yes","Yes","<1% of to"
"org.tr","7285","Yes","Yes","3% of tr"
"org.tw","8554","Yes","Yes","5% of tw"
"org.ua","22157","Yes","Yes","6% of ua"
"org.uk","242128","Yes","Yes","2% of uk"
"org.vc","2","Yes","Yes","<1% of vc"
"org.vn","1817","Yes","No","1% of vn"
"org.vu","3","Yes","No","1% of vu"
"org.ws","50","Yes","Yes","<1% of ws"
"osaka.jp","177","Yes","Yes","<1% of jp"
"oslo.no","164","Yes","Yes","<1% of no"
"ostroleka.pl","299","Yes","Yes","<1% of pl"
"oz.au","26","Yes","Yes","<1% of au"
"p.se","6","Yes","Yes","<1% of se"
"pa.us","166","Yes","Yes","<1% of us"
"parliament.nz","6","Yes","Yes","<1% of nz"
"pe.ca","162","Yes","Yes","<1% of ca"
"pe.kr","3498","Yes","Yes","1% of kr"
"penza.su","43","Yes","Yes","<1% of su"
"per.sg","80","Yes","Yes","<1% of sg"
"pila.pl","928","Yes","Yes","<1% of pl"
"pisz.pl","935","Yes","Yes","<1% of pl"
"pl.ua","873","Yes","Yes","<1% of ua"
"plc.uk","162","Yes","Yes","<1% of uk"
"pokrovsk.su","4","Yes","Yes","<1% of su"
"pol.tr","218","Yes","Yes","<1% of tr"
"pomorskie.pl","414","Yes","Yes","<1% of pl"
"pomorze.pl","459","Yes","Yes","<1% of pl"
"poznan.pl","1955","Yes","Yes","<1% of pl"
"pp.ru","2560","Yes","Yes","<1% of ru"
"pp.se","599","Yes","Yes","<1% of se"
"pp.ua","7619","Yes","Yes","2% of ua"
"ppg.br","445","Yes","Yes","<1% of br"
"pr.us","11","Yes","Yes","<1% of us"
"press.se","11","Yes","Yes","<1% of se"
"priv.at","235","Yes","Yes","<1% of at"
"priv.no","288","Yes","Yes","<1% of no"
"pro.br","1949","Yes","Yes","<1% of br"
"pro.vn","259","Yes","No","<1% of vn"
"prom.ua","431","No","Yes","<1% of ua"
"psc.br","368","Yes","Yes","<1% of br"
"pulawy.pl","485","Yes","Yes","<1% of pl"
"pyatigorsk.ru","20","Yes","Yes","<1% of ru"
"qc.ca","7481","Yes","Yes","<1% of ca"
"qh.cn","299","Yes","No","<1% of cn"
"qld.au","25","Yes","Yes","<1% of au"
"radom.pl","1569","Yes","Yes","<1% of pl"
"re.kr","1198","Yes","Yes","<1% of kr"
"res.in","253","Yes","Yes","<1% of in"
"ro.com","525862","Yes","No","<1% of com"
"ru.net","716","No","No","<1% of net"
"rv.ua","1234","Yes","Yes","<1% of ua"
"rybnik.pl","804","Yes","Yes","<1% of pl"
"rzeszow.pl","1939","Yes","Yes","<1% of pl"
"s.se","17","Yes","Yes","<1% of se"
"sa.au","17","Yes","Yes","<1% of au"
"saitama.jp","96","Yes","Yes","<1% of jp"
"sanok.pl","435","Yes","Yes","<1% of pl"
"sc.cn","1668","Yes","No","<1% of cn"
"sc.ke","15","No","Yes","<1% of ke"
"sc.kr","180","Yes","Yes","<1% of kr"
"sc.us","172","Yes","Yes","<1% of us"
"sch.ir","236","Yes","No","<1% of ir"
"school.nz","2606","Yes","Yes","1% of nz"
"sd.cn","611","Yes","No","<1% of cn"
"sd.us","30","Yes","Yes","<1% of us"
"seoul.kr","149","Yes","Yes","<1% of kr"
"sh.cn","7059","Yes","No","<1% of cn"
"shop.hu","241","Yes","Yes","<1% of hu"
"shop.pl","343","Yes","Yes","<1% of pl"
"siedlce.pl","197","No","Yes","<1% of pl"
"sk.ca","365","Yes","Yes","<1% of ca"
"sklep.pl","1920","Yes","Yes","<1% of pl"
"slask.pl","1287","Yes","Yes","<1% of pl"
"slu.se","742","No","Yes","<1% of se"
"slupsk.pl","870","Yes","Yes","<1% of pl"
"sn.cn","442","Yes","No","<1% of cn"
"sochi.su","149","Yes","Yes","<1% of su"
"sosnowiec.pl","590","Yes","Yes","<1% of pl"
"spb.ru","46038","Yes","Yes","1% of ru"
"spb.su","1075","Yes","Yes","1% of su"
"srv.br","2155","Yes","Yes","<1% of br"
"stargard.pl","439","Yes","Yes","<1% of pl"
"store.ro","207","Yes","Yes","<1% of ro"
"suwalki.pl","442","Yes","Yes","<1% of pl"
"swidnica.pl","401","Yes","Yes","<1% of pl"
"swinoujscie.pl","313","Yes","Yes","<1% of pl"
"sx.cn","514","Yes","No","<1% of cn"
"szczecin.pl","3762","Yes","Yes","<1% of pl"
"szkola.pl","183","Yes","Yes","<1% of pl"
"t.se","12","Yes","Yes","<1% of se"
"tashkent.su","1","No","Yes","<1% of su"
"te.ua","976","Yes","Yes","<1% of ua"
"termez.su","1","No","Yes","<1% of su"
"tj.cn","692","Yes","No","<1% of cn"
"tm.fr","1304","Yes","Yes","<1% of fr"
"tm.ro","60","Yes","Yes","<1% of ro"
"tm.se","298","Yes","Yes","<1% of se"
"tmeeting.se","7","No","Yes","<1% of se"
"tn.us","55","Yes","Yes","<1% of us"
"togliatti.su","15","Yes","Yes","<1% of su"
"tokyo.jp","508","Yes","Yes","<1% of jp"
"travel.pl","311","Yes","Yes","<1% of pl"
"troitsk.su","4","Yes","Yes","<1% of su"
"tselinograd.su","1","No","Yes","<1% of su"
"tula.su","34","Yes","Yes","<1% of su"
"tur.ar","546","Yes","No","<1% of ar"
"tur.br","2669","Yes","Yes","<1% of br"
"turystyka.pl","245","Yes","Yes","<1% of pl"
"tuva.su","10","Yes","Yes","<1% of su"
"tv.br","1093","Yes","Yes","<1% of br"
"tv.tr","504","Yes","Yes","<1% of tr"
"tw.cn","416","Yes","No","<1% of cn"
"tx.us","494","Yes","Yes","<1% of us"
"tychy.pl","822","Yes","Yes","<1% of pl"
"u.se","16","Yes","Yes","<1% of se"
"uk.com","156650","Yes","No","<1% of com"
"us.com","664012","Yes","No","<1% of com"
"ustka.pl","408","Yes","Yes","<1% of pl"
"ut.us","39","Yes","Yes","<1% of us"
"uz.ua","383","Yes","Yes","<1% of ua"
"va.us","127","Yes","Yes","<1% of us"
"vet.br","319","Yes","Yes","<1% of br"
"vgs.no","387","Yes","Yes","<1% of no"
"vic.au","77","Yes","Yes","<1% of au"
"vladikavkaz.ru","20","Yes","Yes","<1% of ru"
"vladikavkaz.su","1","Yes","Yes","<1% of su"
"vladimir.ru","120","Yes","Yes","<1% of ru"
"vladimir.su","12","Yes","Yes","<1% of su"
"vn.ua","1155","Yes","Yes","<1% of ua"
"vologda.su","5","Yes","Yes","<1% of su"
"vt.us","28","Yes","Yes","<1% of us"
"w.se","20","Yes","Yes","<1% of se"
"wa.us","217","Yes","Yes","<1% of us"
"walbrzych.pl","482","Yes","Yes","<1% of pl"
"warszawa.pl","2904","Yes","Yes","<1% of pl"
"waw.pl","13426","Yes","Yes","1% of pl"
"web.tr","3604","Yes","Yes","1% of tr"
"wi.us","191","Yes","Yes","<1% of us"
"wloclawek.pl","396","Yes","Yes","<1% of pl"
"wroc.pl","916","Yes","Yes","<1% of pl"
"wroclaw.pl","3839","Yes","Yes","<1% of pl"
"wv.us","12","Yes","Yes","<1% of us"
"wy.us","14","Yes","Yes","<1% of us"
"x.se","21","Yes","Yes","<1% of se"
"xj.cn","316","Yes","No","<1% of cn"
"xz.cn","306","Yes","No","<1% of cn"
"y.se","17","Yes","Yes","<1% of se"
"yk.ca","54","Yes","Yes","<1% of ca"
"yn.cn","447","Yes","No","<1% of cn"
"z.se","13","Yes","Yes","<1% of se"
"zgora.pl","1118","Yes","Yes","<1% of pl"
"zj.cn","1081","Yes","No","<1% of cn"
"zp.ua","2711","Yes","Yes","1% of ua"
"zt.ua","332","Yes","Yes","<1% of ua"